gene	ISV	WSV	pv	pv.BH	pv.Bonf
ADAD2	0.448293781434138	0.551706218565862	0.0394036324162639	0.0633556007306564	1
ADAL	0.614691132393914	0.385308867606086	5.53123518655722e-07	3.36082659704944e-06	0.0102034695486421
ADAM10	0.64154212106244	0.35845787893756	3.32500631977653e-08	2.58476154997546e-07	0.000613363915809176
ADAM11	0.457020734443059	0.542979265556941	0.0274821957220539	0.0469107119908141	1
ADAM12	0.826707639909964	0.173292360090036	1.12569051100032e-22	8.79898849848428e-21	2.07656128564229e-18
ADAM15	0.661674475714095	0.338325524285906	3.19323601644129e-09	3.00232542279778e-08	5.89056247952925e-05
ADAM17	0.547249574596209	0.452750425403791	0.000165791760078739	0.000573050973979149	1
ADAM18	0.384709995983253	0.615290004016747	0.285430816478878	0.332996602048183	1
ADAM19	0.700737713394938	0.299262286605062	1.75055680008811e-11	2.45383900389251e-10	3.22925212912255e-07
ADAM2	0.364555738087114	0.635444261912886	0.428249385997155	0.470821647505186	1
ADAM20	0.38588853638734	0.61411146361266	0.277866836263701	0.325634300778635	1
ADAM22	0.497063362930252	0.502936637069748	0.0039248779730528	0.00895956242654436	1
ADAM23	0.819496335269928	0.180503664730072	8.54173265955216e-22	6.0371395544352e-20	1.57569342370759e-17
ADAM28	0.674196749553998	0.325803250446002	6.65188715161395e-10	7.04405064786581e-09	1.22707362285822e-05
ADAM29	0.421448365671899	0.578551634328101	0.10408819646209	0.142335620164189	1
ADAM30	0.491965495667603	0.508034504332397	0.00516833338903245	0.0113163496768524	1
ADAM32	0.484153026885796	0.515846973114204	0.0077563521178147	0.0160171753629607	1
ADAM33	0.453844868769869	0.546155131230131	0.0314136035613665	0.0524564809356864	1
ADAM3A	0.385363844147364	0.614636155852636	0.281221569356364	0.328834577200611	1
ADAM5P	0.426068002988676	0.573931997011324	0.0893487933713482	0.125168377226706	1
ADAM7	0.357364185365823	0.642635814634177	0.483363740236589	0.522080386213734	1
ADAM8	0.683938704945414	0.316061295054586	1.8423957037703e-10	2.15651481900069e-09	3.39866735474508e-06
ADAM9	0.592127319772455	0.407872680227546	4.56885478050618e-06	2.29088513552589e-05	0.0842816641359976
ADAMDEC1	0.602206133542471	0.397793866457529	1.82766017323771e-06	9.92196798579046e-06	0.033714847215716
ADAMTS1	0.670803895521767	0.329196104478233	1.02654977279635e-09	1.05321266177833e-08	1.89367636587744e-05
ADAMTS10	0.750362607926254	0.249637392073746	4.99918128878947e-15	1.27905544014285e-13	9.22198972342993e-11
ADAMTS12	0.42528976836338	0.57471023163662	0.0917149899074817	0.128006841100349	1
ADAMTS13	0.48067422013178	0.51932577986822	0.00923677537429595	0.0186321263345694	1
ADAMTS14	0.410346156311616	0.589653843688385	0.146667093946294	0.189837768876459	1
ADAMTS15	0.490971242276489	0.509028757723511	0.00544813287268043	0.0118530141646817	1
ADAMTS16	0.359621645056442	0.640378354943558	0.465943884169682	0.506438064534417	1
ADAMTS17	0.733516328973143	0.266483671026857	9.99109666522451e-14	2.08255096252425e-12	1.84305760183397e-09
ADAMTS18	0.446611891987234	0.553388108012767	0.0421296432636955	0.067135930311454	1
ADAMTS19	0.358700353206828	0.641299646793172	0.473043237323359	0.513059202296522	1
ADAMTS2	0.482934090859014	0.517065909140987	0.00824942042559062	0.0168841738145867	1
ADAMTS20	0.39127761823913	0.60872238176087	0.244642556956495	0.29257187994661	1
ADAMTS3	0.449011784037367	0.550988215962633	0.0382847360831175	0.0618282517153492	1
ADAMTS4	0.44454146766282	0.55545853233718	0.0456943895624214	0.0717748981827306	1
ADAMTS5	0.555700042290029	0.444299957709971	8.93377151152836e-05	0.000330594349193909	1
ADAMTS6	0.722839207644878	0.277160792355122	5.88249782523954e-13	1.05867743787506e-11	1.08514437382194e-08
ADAMTS7	0.45645126317381	0.54354873682619	0.0281551664715989	0.0478645614138406	1
ADAMTS8	0.37452224055377	0.62547775944623	0.354808694157418	0.400633897357035	1
ADAMTS9	0.479478889815344	0.520521110184656	0.00979972604489098	0.0195877718441981	1
ADAMTSL1	0.320602715842824	0.679397284157176	0.752941036912007	0.770013488630435	1
ADAMTSL2	0.455051311326213	0.544948688673787	0.0298683373012512	0.0503179194699709	1
ADAMTSL3	0.426643212655309	0.573356787344691	0.0876297001955678	0.123134146824165	1
ADAMTSL4	0.715405421049421	0.284594578950579	1.91689256060568e-12	3.17993858502634e-11	3.53609170654929e-08
ADAMTSL5	0.542294239739912	0.457705760260089	0.000235426916773905	0.00078250816823932	1
ADAP2	0.674268647683251	0.325731352316749	6.59052708334972e-10	6.9870950061237e-09	1.21575453106552e-05
ADAR	0.494530874271799	0.505469125728201	0.00450451392071221	0.0100757570383628	1
ADARB1	0.710904044300586	0.289095955699414	3.84155555505743e-12	6.02545938783329e-11	7.08651753241444e-08
ADARB2	0.55160951892793	0.44839048107207	0.000120897828252669	0.000432964907353327	1
ADAT1	0.669784011993471	0.330215988006529	1.16803787743756e-09	1.19043064779506e-08	2.15467947250906e-05
ADAT2	0.501914672577724	0.498085327422276	0.00299749666942285	0.00711461928214659	1
ADAT3	0.470622963731535	0.529377036268465	0.014985649028555	0.0281249636412406	1
ADC	0.536091446063349	0.463908553936651	0.000360740418342518	0.00113850786948921	1
ADCK1	0.523828949382058	0.476171050617942	0.000806541305180909	0.00229922229279435	1
ADCK2	0.477889108370186	0.522110891629814	0.0105947715438435	0.0209431794544878	1
ADCK4	0.389396093199202	0.610603906800798	0.255982045638423	0.304141491426767	1
ADCK5	0.480157234766786	0.519842765233214	0.00947668221521516	0.019030737733951	1
ADCY1	0.350300525659141	0.649699474340859	0.538136923320609	0.572690194098032	1
ADCY10	0.507276933908194	0.492723066091806	0.00220571682630852	0.00548367362465139	1
ADCY2	0.42933508615757	0.57066491384243	0.0799157263248058	0.114129085973035	1
ADCY3	0.53298992366292	0.46701007633708	0.000444312388303483	0.00136786225417796	1
ADCY4	0.427391809999866	0.572608190000135	0.0854300330709013	0.120538333450227	1
ADCY5	0.501915706305362	0.498084293694638	0.00299732210399434	0.00711461928214659	1
ADCY6	0.37646376215383	0.62353623784617	0.341078058153844	0.387740613715657	1
ADCY7	0.644802950040579	0.355197049959422	2.30772303195268e-08	1.84367980816072e-07	0.000425705667704311
ADCY8	0.49682553574149	0.50317446425851	0.00397632218128353	0.00905794211881172	1
ADCY9	0.813064478521488	0.186935521478512	4.81810723432517e-21	3.04382274491769e-19	8.88796241515964e-17
ADCYAP1	0.25210744546372	0.74789255453628	0.983296552025944	0.984096760808517	1
ADCYAP1R1	0.380874249766129	0.619125750233871	0.310745252836685	0.357666293072835	1
ADD1	0.398331570927967	0.601668429072033	0.204739202567457	0.2518218475638	1
